Start Date,End Date,Start Time,End Time,コースコード,Offering Name,Class ID,Class Status
2026/08/24,2026/08/27,09:30 JST,17:30 JST,DO280VT,Red Hat OpenShift Administration II: Configuring a Production Cluster (DO280VT),92336330,Scheduled
2026/09/07,2026/09/11,09:30 JST,17:30 JST,RH199VT,RHCSA Rapid Track Course (RH199VT),91247242,Scheduled
2026/09/07,2026/09/11,09:30 JST,17:30 JST,DO316VT,Red Hat OpenShift Virtualization Administration Rapid Track (DO316VT),92219253,Scheduled
2026/09/14,2026/09/17,09:30 JST,17:30 JST,AU294VT,Red Hat Enterprise Linux Automation with Ansible (AU294VT),91246002,Scheduled
2026/09/14,2026/09/17,09:30 JST,17:30 JST,DO288VT,Red Hat OpenShift Developer II: Building and Deploying Cloud-native Applications (DO288VT),91247122,Scheduled
2026/09/16,2026/09/18,09:30 JST,17:30 JST,DO156VT,Red Hat OpenShift Virtualization Administration I: Operating Virtual Machines Virtual Training (DO156VT ),92074654,Scheduled
2026/09/28,2026/09/29,09:30 JST,17:30 JST,CL170VT,OpenStack Administration: Control Plane Management (CL170VT),91247073,Scheduled
2026/09/28,2026/10/02,09:30 JST,17:30 JST,RH124VT,Red Hat System Administration I (RH124VT) (RHEL 10),91247176,Scheduled
2026/10/05,2026/10/09,09:30 JST,17:30 JST,RH134VT,Red Hat System Administration II (RH134VT) (RHEL 10),91247209,Scheduled
2026/10/05,2026/10/09,09:30 JST,17:30 JST,RH199VT,RHCSA Rapid Track Course (RH199VT),91247253,Scheduled
2026/10/05,2026/10/07,09:30 JST,17:30 JST,DO256VT,Red Hat OpenShift Virtualization Administration II: Configuring Production Virtual Machines (DO256VT),91960579,Scheduled
2026/10/13,2026/10/16,09:30 JST,17:30 JST,AU294VT,Red Hat Enterprise Linux Automation with Ansible (AU294VT),91247055,Scheduled
2026/10/13,2026/10/15,09:30 JST,17:30 JST,DO188VT,Red Hat OpenShift Development I: Introduction to Containers with Podman (DO188VT),91247099,Scheduled
2026/10/19,2026/10/22,09:30 JST,17:30 JST,DO380VT,Red Hat OpenShift Administration III: Scaling Deployments in the Enterprise (DO380VT),91154447,Scheduled
2026/10/19,2026/10/22,09:30 JST,17:30 JST,DO288VT,Red Hat OpenShift Developer II: Building and Deploying Cloud-native Applications (DO288VT),91247131,Scheduled
2026/10/19,2026/10/23,09:30 JST,17:30 JST,RH124VT,Red Hat System Administration I (RH124VT) (RHEL 10),91247187,Scheduled
2026/10/20,2026/10/22,09:30 JST,17:30 JST,DO156VT,Red Hat OpenShift Virtualization Administration I: Operating Virtual Machines Virtual Training (DO156VT ),92202935,Scheduled
2026/10/26,2026/10/29,09:30 JST,17:30 JST,DO180VT,Red Hat OpenShift Administration I: Operating a Production Cluster (DO180VT),91132529,Scheduled
2026/10/26,2026/10/30,09:30 JST,17:30 JST,RH134VT,Red Hat System Administration II (RH134VT) (RHEL 10),91247220,Scheduled
2026/11/04,2026/11/05,09:30 JST,17:30 JST,CL170VT,OpenStack Administration: Control Plane Management (CL170VT),91247078,Scheduled
2026/11/04,2026/11/06,09:30 JST,17:30 JST,DO256VT,Red Hat OpenShift Virtualization Administration II: Configuring Production Virtual Machines ( DO256VT),92074969,Scheduled
2026/11/09,2026/11/12,09:30 JST,17:30 JST,DO280VT,Red Hat OpenShift Administration II: Configuring a Production Cluster (DO280VT),91132789,Scheduled
2026/11/09,2026/11/13,09:30 JST,17:30 JST,RH199VT,RHCSA Rapid Track Course (RH199VT),91247264,Scheduled
2026/11/16,2026/11/18,09:30 JST,17:30 JST,DO188VT,Red Hat OpenShift Development I: Introduction to Containers with Podman (DO188VT),91247106,Scheduled
2026/11/16,2026/11/20,09:30 JST,17:30 JST,RH124VT,Red Hat System Administration I (RH124VT) (RHEL 10),91247198,Scheduled
2026/11/16,2026/11/20,09:30 JST,17:30 JST,DO316VT,Managing Virtual Machines with Red Hat OpenShift Virtualization (DO316VT),91960968,Scheduled
2026/11/24,2026/11/27,09:30 JST,17:30 JST,DO288VT,Red Hat OpenShift Developer II: Building and Deploying Cloud-native Applications (DO288VT),91247140,Scheduled
2026/11/30,2026/12/04,09:30 JST,17:30 JST,RH134VT,Red Hat System Administration II (RH134VT) (RHEL 10),91247231,Scheduled
2026/12/07,2026/12/10,09:30 JST,17:30 JST,AU294VT,Red Hat Enterprise Linux Automation with Ansible (AU294VT),91247064,Scheduled
2026/12/07,2026/12/11,09:30 JST,17:30 JST,RH199VT,RHCSA Rapid Track Course (RH199VT),91247275,Scheduled
2026/12/09,2026/12/11,09:30 JST,17:30 JST,DO156VT,Red Hat OpenShift Virtualization Administration I: Operating Virtual Machines Virtual Training (DO156VT ),91960983,Scheduled
2026/12/14,2026/12/16,09:30 JST,17:30 JST,DO256VT,Red Hat OpenShift Virtualization Administration II: Configuring Production Virtual Machines ( DO256VT),92074352,Scheduled
2026/12/14,2026/12/18,09:30 JST,17:30 JST,RH124VT,Red Hat System Administration I (RH124VT),92485368,Scheduled
2026/12/21,2026/12/24,09:30 JST,17:30 JST,DO380VT,Red Hat OpenShift Administration III: Scaling Deployments in the Enterprise (DO380VT),91154453,Scheduled
