Start Date,End Date,Class Status,Offering ID,Offering Name,SKU
1955/1/1,1955/1/1,Holiday,holiday_1,元日,HOLIDAY
1955/1/15,1955/1/15,Holiday,holiday_2,成人の日,HOLIDAY
1955/3/21,1955/3/21,Holiday,holiday_3,春分の日,HOLIDAY
1955/4/29,1955/4/29,Holiday,holiday_4,天皇誕生日,HOLIDAY
1955/5/3,1955/5/3,Holiday,holiday_5,憲法記念日,HOLIDAY
1955/5/5,1955/5/5,Holiday,holiday_6,こどもの日,HOLIDAY
1955/9/24,1955/9/24,Holiday,holiday_7,秋分の日,HOLIDAY
1955/11/3,1955/11/3,Holiday,holiday_8,文化の日,HOLIDAY
1955/11/23,1955/11/23,Holiday,holiday_9,勤労感謝の日,HOLIDAY
1956/1/1,1956/1/1,Holiday,holiday_10,元日,HOLIDAY
1956/1/15,1956/1/15,Holiday,holiday_11,成人の日,HOLIDAY
1956/3/21,1956/3/21,Holiday,holiday_12,春分の日,HOLIDAY
1956/4/29,1956/4/29,Holiday,holiday_13,天皇誕生日,HOLIDAY
1956/5/3,1956/5/3,Holiday,holiday_14,憲法記念日,HOLIDAY
1956/5/5,1956/5/5,Holiday,holiday_15,こどもの日,HOLIDAY
1956/9/23,1956/9/23,Holiday,holiday_16,秋分の日,HOLIDAY
1956/11/3,1956/11/3,Holiday,holiday_17,文化の日,HOLIDAY
1956/11/23,1956/11/23,Holiday,holiday_18,勤労感謝の日,HOLIDAY
1957/1/1,1957/1/1,Holiday,holiday_19,元日,HOLIDAY
1957/1/15,1957/1/15,Holiday,holiday_20,成人の日,HOLIDAY
1957/3/21,1957/3/21,Holiday,holiday_21,春分の日,HOLIDAY
1957/4/29,1957/4/29,Holiday,holiday_22,天皇誕生日,HOLIDAY
1957/5/3,1957/5/3,Holiday,holiday_23,憲法記念日,HOLIDAY
1957/5/5,1957/5/5,Holiday,holiday_24,こどもの日,HOLIDAY
1957/9/23,1957/9/23,Holiday,holiday_25,秋分の日,HOLIDAY
1957/11/3,1957/11/3,Holiday,holiday_26,文化の日,HOLIDAY
1957/11/23,1957/11/23,Holiday,holiday_27,勤労感謝の日,HOLIDAY
1958/1/1,1958/1/1,Holiday,holiday_28,元日,HOLIDAY
1958/1/15,1958/1/15,Holiday,holiday_29,成人の日,HOLIDAY
1958/3/21,1958/3/21,Holiday,holiday_30,春分の日,HOLIDAY
1958/4/29,1958/4/29,Holiday,holiday_31,天皇誕生日,HOLIDAY
1958/5/3,1958/5/3,Holiday,holiday_32,憲法記念日,HOLIDAY
1958/5/5,1958/5/5,Holiday,holiday_33,こどもの日,HOLIDAY
